Ash;Pikachu;40;90;70;Charizard;76;60;90;Snorlax;200;10;10
Giovanni;Nidoqueen;100;40;90;Nidoking;160;62;76;Rhydon;180;77;42
Brock;Jigglypuff;20;50;100;Lapras;60;60;60;Mareep;60;60;30
Misty;Rattata;30;200;10;Pidgeotto;54;100;60;Raichu;60;90;60
Erika;Eevee;30;90;67;Growlithe;60;70;60;Charmander;50;84;70
Charly;Bulbasaur;45;80;72;Dragonite;70;57;70;Dratini;30;30;30
Kiyo;Magikarp;10;10;10;Nidoking;160;62;76;Rattata;30;200;10
Koha;Eevee;30;90;67;Rhydon;180;77;42;Lapras;60;60;60
Sachiko;Charizard;76;60;90;Bulbasaur;45;80;72;Rhydon;180;77;42
Blaine;Snorlax;200;10;10;Pikachu;40;90;70;Charmander;50;84;70
